Year	LowFreq_Hz	HighFreq_Hz	PeakFreq_Hz	DeltaFreq_Hz	DeltaTime_s	PFC_Num_Inf_Pts
Pre-Lockdown	6572.5	17904.3	17578.1	11331.8	0.645	354
Lockdown	4624.6	17900.3	11437.5	13275.7	1.8	95
Pre-Lockdown	4110.8	17894.2	9000	13783.4	0.762	112
Pre-Lockdown	1422.7	17885.1	5625	16462.5	1.227	178
Pre-Lockdown	6965.3	17867.5	11625	10902.2	1.059	483
Pre-Lockdown	3722.6	17846.5	10687.5	14123.9	0.693	82
Lockdown	7322	17816.9	9843.8	10494.9	0.794	70
Lockdown	4577.3	17814.4	9468.8	13237.1	0.739	49
Lockdown	1757.1	17785.7	4406.2	16028.6	1.637	182
Pre-Lockdown	5308.6	17783.8	8789.1	12475.2	0.869	292
Lockdown	7817.9	17779.3	12187.5	9961.5	0.853	103
Pre-Lockdown	6760.6	17777.8	10742.2	11017.2	0.455	224
Lockdown	7605.9	17773.4	10687.5	10167.5	0.732	56
Pre-Lockdown	4116.1	17764.3	16601.6	13648.2	2.087	997
Pre-Lockdown	4945.5	17745.5	12937.5	12800	2.004	186
Lockdown	6977.2	17737.3	10125	10760.1	0.972	104
Pre-Lockdown	4379.5	17737	9937.5	13357.5	7.562	651
Pre-Lockdown	5292.7	17730.6	8300.8	12437.9	1.781	756
Pre-Lockdown	4640.9	17719.9	10253.9	13079	0.337	198
Pre-Lockdown	3876	17703.9	5906.2	13827.9	1.321	47
Pre-Lockdown	3457	17703.9	5906.2	14246.9	1.304	43
Lockdown	5484.2	17701.4	11156.2	12217.2	1.165	87
Pre-Lockdown	8615.4	17692.3	16875	9076.9	0.821	185
Pre-Lockdown	2663.8	17677.7	15625	15013.9	1.215	600
Lockdown	7694.4	17661.1	12750	9966.8	0.518	29
Pre-Lockdown	9451.9	17626.6	11230.5	8174.6	1.501	499
Pre-Lockdown	8553.7	17625.8	17089.8	9072.1	0.873	506
Lockdown	3986.7	17621.3	8812.5	13634.6	0.709	41
Pre-Lockdown	4859.8	17616.9	10253.9	12757.1	2.191	745
Pre-Lockdown	4166.7	17613.6	16992.2	13447	0.898	270
Lockdown	7340.7	17572.1	11625	10231.4	1.632	93
Lockdown	5700	17571.4	10875	11871.4	2.575	183
Pre-Lockdown	4324.8	17569.5	8789.1	13244.7	1.322	468
Lockdown	12057.1	17563	14343.8	5505.8	0.749	76
Lockdown	8591.1	17536.9	11718.8	8945.8	0.54	63
Lockdown	8215.5	17534.1	11250	9318.5	0.779	36
Lockdown	5369.5	17532.2	8062.5	12162.7	0.871	57
Pre-Lockdown	4983.8	17529.1	5625	12545.3	0.927	329
